Dress_ID,Style,Price,Rating,Size,Season,NeckLine,SleeveLength,waiseline,Material,FabricType,Decoration,Pattern Type,Recommendation,Summer,Autumn,Winter,Spring,total
659466129,Casual,Average,0.0,Medium,Winter,o-neck,full,natural,cotton,jersey,Others,solid,1,8,19.0,8.0,1,36.0
756620535,Casual,Low,4.6,Free,Summer,o-neck,full,natural,cotton,worsted,lace,solid,1,1606,3188.0,1229.0,280,6303.0
1069577979,Casual,Low,4.0,Free,Summer,v-neck,sleevless,natural,cotton,broadcloth,hollowout,print,0,156,483.0,132.0,31,802.0
658650071,Casual,Medium,4.8,Medium,Winter,Others,short,natural,polyster,chiffon,lace,patchwork,0,3840,5825.0,2132.0,810,12607.0
974438263,cute,Low,0.0,Free,Spring,v-neck,sleevless,natural,silk,worsted,lace,patchwork,1,15,47.0,14.0,3,79.0
1072784739,Casual,low,5.0,Free,Spring,Others,sleevless,natural,silk,chiffon,applique,print,0,522,1343.0,422.0,134,2421.0
641665398,Casual,Low,4.8,Free,Winter,Others,full,natural,polyster,chiffon,bow,solid,0,30,80.0,19.0,10,139.0
560474456,Sexy,low,4.4,Free,Autumn,v-neck,sleevless,natural,cotton,worsted,lace,solid,0,1743,2929.0,1103.0,334,6109.0
980295760,Casual,Low,4.8,Extra Large,Summer,o-neck,short,empire,mix,chiffon,sashes,Others,0,1459,2871.0,1017.0,285,5632.0
1246945687,Others,Average,0.0,Free,Summer,o-neck,full,natural,cotton,sattin,hollowout,solid,0,132,405.0,110.0,26,673.0
560474456,Sexy,low,4.3,Free,Winter,v-neck,sleevless,natural,silk,worsted,lace,solid,1,1081,2923.0,762.0,336,5102.0
751776863,Casual,Average,4.5,Free,Autumn,o-neck,halfsleeve,natural,cotton,chiffon,hollowout,solid,1,87,237.0,82.0,13,419.0
959052557,Casual,Average,4.2,Small,Winter,v-neck,sleevless,empire,Others,chiffon,hollowout,patchwork,0,889,2419.0,617.0,282,4207.0
832090686,cute,Average,4.6,Medium,Autumn,o-neck,Others,natural,silk,chiffon,sashes,print,0,1264,3404.0,873.0,399,5940.0
870994067,cute,Low,4.9,Medium,Autumn,o-neck,short,natural,chiffonfabric,chiffon,bow,dot,0,596,1631.0,522.0,122,2871.0
1109819647,Casual,Average,0.0,Free,Winter,o-neck,short,natural,polyster,chiffon,Others,solid,0,42,126.0,34.0,8,210.0
1116072373,Others,Medium,4.2,Medium,Winter,o-neck,halfsleeve,natural,polyster,chiffon,hollowout,Others,1,176,503.0,134.0,50,863.0
1028061165,Casual,Average,4.5,Medium,Winter,o-neck,sleevless,natural,polyster,chiffon,Others,Others,0,268,763.0,204.0,70,1305.0
1000425584,cute,Average,4.5,Large,Winter,v-neck,sleevless,natural,polyster,jersey,sashes,solid,1,143,421.0,112.0,29,705.0
1246749980,Others,Average,0.0,Small,Spring,o-neck,full,natural,mix,chiffon,embroidary,print,0,1324,3999.0,1544.0,48,6915.0
903426442,Others,Average,3.6,Large,Winter,v-neck,full,natural,polyster,woolen,beading,solid,1,4749,,2780.0,942,
1122991519,Sexy,Low,0.0,Free,Winter,o-neck,sleevless,natural,Others,chiffon,hollowout,solid,0,330,769.0,355.0,3,1457.0
876339541,cute,Low,4.5,Medium,Summer,o-neck,Others,natural,chiffonfabric,chiffon,bow,dot,0,7706,14676.0,5678.0,1396,29456.0
1024954013,Casual,Average,4.7,Large,Summer,o-neck,sleevless,natural,silk,chiffon,beading,solid,0,1408,2422.0,906.0,285,5021.0
907117649,Others,Average,4.7,Medium,Spring,v-neck,sleevless,natural,polyster,chiffon,hollowout,solid,0,6711,12163.0,4613.0,1226,24713.0
1113094204,Others,Average,0.0,Free,Spring,v-neck,short,empire,cotton,broadcloth,beading,solid,1,68,181.0,60.0,12,321.0
1027818824,Casual,Medium,0.0,Medium,Spring,v-neck,Others,natural,silk,chiffon,ruffles,solid,1,10,17.0,6.0,3,36.0
907669618,Sexy,Average,0.0,Free,Spring,v-neck,full,natural,cotton,wollen,lace,solid,1,2,1.0,0.0,1,4.0
1061890181,Casual,Average,0.0,Large,Spring,o-neck,sleevless,natural,chiffonfabric,chiffon,Others,solid,0,31,85.0,24.0,8,148.0
845853510,Casual,Average,4.5,Large,Summer,o-neck,short,natural,cotton,jersey,Others,solid,0,747,2003.0,656.0,164,3570.0
560474456,Sexy,low,4.4,Free,Autumn,v-neck,sleevless,natural,cotton,worsted,lace,solid,0,1081,2923.0,762.0,336,5102.0
870994067,cute,Low,4.8,Medium,Spring,o-neck,short,natural,Others,shiffon,bow,dot,1,788,1646.0,634.0,127,3195.0
1130994272,Casual,Low,5.0,Medium,Summer,v-neck,sleevless,empire,polyster,chiffon,ruffles,Others,0,639,1129.0,414.0,127,2309.0
912614690,Others,Low,5.0,Free,Spring,o-neck,short,natural,Others,jersey,sashes,print,1,86,248.0,76.0,19,429.0
955679920,Sexy,Average,4.8,Small,Winter,v-neck,sleevless,empire,polyster,chiffon,lace,solid,0,437,1213.0,396.0,79,2125.0
828623528,Casual,Average,4.6,Free,Autumn,o-neck,sleevless,natural,polyster,chiffon,sashes,solid,1,7338,12361.0,4627.0,1415,25741.0
593007494,Casual,Low,4.6,Free,Spring,v-neck,sleevless,natural,silk,chiffon,Others,solid,0,1067,2587.0,691.0,399,4744.0
1216538883,cute,Average,0.0,Medium,Winter,o-neck,short,natural,polyster,chiffon,sashes,solid,0,1941,5454.0,1861.0,237,9493.0
1223469038,Sexy,Average,0.0,Free,Winter,Others,sleevless,natural,cotton,broadcloth,Others,solid,1,22,23.0,28.0,2,75.0
